,ratings,location,date,pro,con,up_vote,down_vote,message
263,3.0,"Mesa, AZ",2018-10-30,Extremely flexible,Low pay,2,1,"Good job for retired people, students, and anyone that just needs some extra cash.Recommended if you need a flexible job that can easily work around a busy schedule.Not recommended as a full-time job, the pay is too low after all expenses."
264,5.0,Washington DC,2018-10-30,,,,3,It gives me relaxed time to enjoy my family help my kids with their homework have quality time with them it a kind of job you want to have as a part time job
265,1.0,"Columbus, OH 43210",2018-10-29,,,3,,trips are not paid enough. long days. hard to reach customer service when needed. people junk up your car. customers were rude for the amount that was being paid
266,4.0,"Kansas City, MO",2018-10-29,Flexible,Contractor-no guarantees,3,1,"No guarantees.  It is what it is.  Risk reward.   Hour are demanding.  Software is reliable and fair as far as I can see.  I always enjoyed giving great service, and some riders will rate low just because...Nothing can be done to fix the system."
267,3.0,"Boston, MA",2019-02-13,,,4,,Initially was excellent. Has become saturated now with way too many drivers and fares have been reduc d significantly while the percentage uber receive has increased
268,5.0,"New York, NY",2018-10-29,,,,3,Good company to work as a second job. You always have to maintain your vehicle. A lot of stress comes from driving in New York. The need to have a lot of patience.
269,5.0,"New York, NY",2018-10-28,Owner of my own time,No personal time,,1,"this is a fast paced working environment. The need of constant customer service is very high in order to meet every passenger's destination needs. I enjoy managing my own time, but it is very difficult to have personal or private time when encounter emergency situations."
270,4.0,"Hampton, VA",2018-10-28,,,,1,"Overall it is good, but it’s competitive and makes it difficult to make a reasonable wage.  Huge downside: your responsible for your own taxes. Which means you must be responsible enough to put money aside every week."
271,3.0,"Honolulu, HI",2018-10-28,own hours,entitiled riders with bad attitudes,,,"I start work at about 2am, before my day job. I learned that driving other people (strangers) can be a challenge, especially when they enter your car with abad attitude. Respect sometimes ""trumps"" customer service. My favorite part of driving others are that truly appreciate the service we offer."
272,5.0,"San Francisco, CA",2018-10-27,,,,1,Good job to supplement or be your sole source of income. Must provide your own benefits. Must like driving and relating to people of various ethnic backgrounds.
273,2.0,"Nashville, TN",2018-10-27,,Car wear and tear,2,,It really is a secondary job at best. Support is placed outside the country and they can be rude at times. There is tons of drivers so there is a lot of competition which means number of rides can be low at times.
274,3.0,"Brooklyn, NY",2018-10-27,Work when you want,If you don’t have your own car. Renting one is expensive.,2,,Working for Uber is good if you don’t have a lot of bill and just looking for something to waste time with. The more you work the more money you make but also the money gas you spend and also don’t forget the more miles you drive the more you spend on maintenance.
275,4.0,"Boston, MA",2018-10-27,,,1,1,"I love working when I want, and that was afforded to me through the structure of this job. When I need time off, I get it, when I work, I am paid handsomely through the peak hours and such. I enjoy what I do and would recommend it to everyone."
276,1.0,New York State,2018-10-26,none,people are not helping out,4,,"I made a great mistake without knowing about the company. Stupid rules and regulations. Treating as their servant and uber makes money. They use us and our car/ gas, telephone etc.Be careful before joining Uber. They use our resources but not helping the drivers in any way only listening to their customers. They don't analyze who is right or wrong without notice they fire the drivers. They promise many things but nothing is true."
277,5.0,"Los Angeles, CA",2018-10-25,"Work your own ours, meet lots of people, not too difficult to pick up",can't see where someone is going until you pick them up so trips can be very far sometimes,3,1,"A typical day at work consists of waiting for a request and then once it comes to locate the passenger and take them to their destination. I've learned a lot, I take people to places I have never been before and its great. Its also fun to hear the stories people have to tell and really engage with the passenger."
278,1.0,"Tysons Corner, VA",2018-10-25,work when you want,no benefite's destroys car. strangers in your vehicle,1,,"I worked for Uber for over 1 year. I put a ton of miles on my car and constantly needed oil changes and tires. I had an accident while on the uber app and the insurance won't fix my car. The manual says your covered as long as your online. The insurance. ""James River "" says I'm not covered. There's no benefits of any kind unless you think destroying your car is a benefit."
279,1.0,"Dallas-Fort Worth, TX",2018-10-24,Dont make me laugh...,Nasty rude people!,8,,"If you are totally bored because your spouse is a millionaire and want nasty rude SOBER people to tear up your car then, by golly, get on the road and go to town! No one but you is holding you back!"
280,3.0,"Stockton, CA",2018-10-24,,,2,,"Good customers and conversation it’s ok nothing big . It’s not real job to get real money . I did it just to try it out , looking for bigger and better options"
281,1.0,"Tampa, FL",2018-10-24,None,Very deceptive company,12,,"Uber advertises that driving for them you will earn a good income, only Uber makes money, drivers work practically work for free. Uber support is non existent, drivers get de-activated on unsupported complaints, and very questionable ways that mileage is calculated.Most passengers are nice, but you will get some that think that you’re their personal servants. Some will try to game the system and make false complaints to get free rides.I don’t recommend anyone to work for this company, their advertisements are exetremly deceptive."
